"date","order_id","asin","disposition","reason","comments"
2025-03-25 22:44:42,"114-4965073-4828227","B0DBZGL9YS","CUSTOMER_DAMAGED","UNWANTED_ITEM",""
2025-03-25 20:17:12,"113-2110971-5697057","B0DBVMLB8P","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED",""
2025-03-25 19:24:22,"112-1729861-5980254","B0DBYX9CK6","SELLABLE","QUALITY_UNACCEPTABLE","Too thin and wouldn&#39;t lay out very well."
2025-03-25 18:21:37,"113-0231235-2499442","B0DBYP9F11","SELLABLE","NOT_AS_DESCRIBED","The color does not reflect description"
2025-03-25 11:55:49,"112-7299613-8600219","B0DQ8FXRDX","CUSTOMER_DAMAGED","UNWANTED_ITEM",""
2025-03-25 09:26:41,"113-1838967-7361857","B0DBYP9F11","SELLABLE","APPAREL_TOO_LARGE","Too large"
2025-03-25 08:30:25,"114-2933262-8106629","B0DBYLGSS5","SELLABLE","UNWANTED_ITEM","Ordered two"
2025-03-25 08:05:36,"111-1612268-1994631","B0DBYW49QF","SELLABLE","NOT_AS_DESCRIBED","It does not look like the photo."
2025-03-25 06:28:38,"112-3479078-7889049","B0DBVM69Y6","SELLABLE","UNWANTED_ITEM","The color did not work in the space"
2025-03-25 01:49:09,"112-5604716-1975405","B0DBYP9F11","SELLABLE","NOT_AS_DESCRIBED","Way too wrinkled and thin"
2025-03-24 22:47:28,"113-3063616-1024205","B0DBYZ1P1H","SELLABLE","UNWANTED_ITEM","Product looks different then online"
2025-03-24 18:38:56,"114-7997014-5764208","B0DBYV567L","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED",""
2025-03-24 17:43:51,"111-3355204-1670637","B0DBVPWW8F","SELLABLE","UNWANTED_ITEM","Hgffunv"
2025-03-24 13:23:03,"113-5187440-9570614","B0DBYMRB1C","SELLABLE","APPAREL_TOO_LARGE","Bigger than I wanted"
2025-03-24 13:01:06,"113-5964803-9783449","B0DBYMRB1C","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE",""
2025-03-24 07:52:00,"113-2022592-9860234","B0DQ8PNQMC","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED",""
2025-03-24 07:35:40,"112-9198795-7673834","B0DBY8NGRN","CUSTOMER_DAMAGED","UNWANTED_ITEM",""
2025-03-23 21:55:09,"114-1628522-4703458","B0DBVPWW8F","SELLABLE","NOT_AS_DESCRIBED","Too much blue shade in carpet expecting more greens"
2025-03-23 20:51:19,"112-6426874-6542625","B0DBYY5XMP","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED",""
2025-03-23 15:38:49,"112-7620723-0181036","B0DBZ4M9KK","CUSTOMER_DAMAGED","UNWANTED_ITEM",""
2025-03-23 10:31:32,"113-3535596-2051442","B0DBYVNMF8","SELLABLE","UNWANTED_ITEM","Liked the other one"
2025-03-23 08:40:30,"114-4872559-2107431","B0DBYP9F11","SELLABLE","UNWANTED_ITEM","No longer need"
2025-03-22 15:35:21,"112-4283968-2198665","B0DBYVNMF8","CUSTOMER_DAMAGED","NO_REASON_GIVEN",""
2025-03-22 13:07:10,"114-3949129-2017814","B0DBZGL9YS","SELLABLE","MISSED_ESTIMATED_DELIVERY","Na"
2025-03-22 11:13:59,"114-3887059-8745833","B0DBZ1H9PP","CUSTOMER_DAMAGED","APPAREL_TOO_LARGE",""
2025-03-22 11:06:54,"113-9508590-0390661","B0DBVN24HV","SELLABLE","NOT_AS_DESCRIBED","Not as pictured"
2025-03-22 06:09:27,"112-5280002-4009867","B0DBYT5KQ7","CUSTOMER_DAMAGED","UNWANTED_ITEM",""
2025-03-22 05:20:20,"111-2849185-0974601","B0DBZ3PDH4","SELLABLE","NOT_AS_DESCRIBED","Differences between screens and colors"
2025-03-22 02:20:46,"111-6012178-2095427","B0DBVM2KQN","SELLABLE","ORDERED_WRONG_ITEM","Does mot match other decor."
2025-03-21 22:59:59,"112-7250018-9757855","B0DBYZ1P1H","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM",""
2025-03-21 15:53:35,"114-3892333-5765010","B0DBVMLB8P","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM",""
2025-03-21 12:19:22,"111-0592576-8244266","B0DBYMRB1C","CUSTOMER_DAMAGED","DEFECTIVE",""
2025-03-21 10:18:34,"112-1871301-4569835","B0DBYV7V8N","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM",""
2025-03-21 08:14:17,"114-0515928-0997011","B0DBYZ1P1H","CUSTOMER_DAMAGED","DEFECTIVE",""
2025-03-21 08:08:10,"111-7970338-6426617","B0DBZB9JY5","CUSTOMER_DAMAGED","UNWANTED_ITEM",""
2025-03-21 07:57:53,"111-0928031-3262650","B0DBYY5XMP","DEFECTIVE","SWITCHEROO","Wrong color and pattern"
2025-03-21 07:49:07,"111-4803165-3575466","B0DBYLGSS5","CUSTOMER_DAMAGED","APPAREL_TOO_LARGE",""
2025-03-21 07:48:45,"114-5911366-5111462","B0DQ8CQ71N","CUSTOMER_DAMAGED","APPAREL_TOO_SMALL",""
2025-03-21 04:35:00,"113-9286034-7781002","B0DBYXH8YW","SELLABLE","NO_REASON_GIVEN",""
2025-03-21 03:49:46,"112-4809288-1525003","B0DBVM7S5P","CUSTOMER_DAMAGED","APPAREL_TOO_SMALL",""
2025-03-20 21:55:01,"112-0720423-0956239","B0DBZ76XQH","CUSTOMER_DAMAGED","DEFECTIVE",""
