Timestamp,03/26/25 15:28:23,,,,,,,,,,,,,,,,,,,
Merchant ID,A1SBBNS12ROFRE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Product Name,SKU,FNSKU,ASIN,Inbound to AWD (units),Inbound to AWD (cases),Available in AWD (units),Available in AWD (cases),Reserved in AWD (units),Reserved in AWD (cases),Outbound Order (units),Outbound Order (cases),Researching (units),Researching (cases),Outbound to FBA (units),Available in FBA (units),Available in FBA (days),Reserved in FBA (units),Customer Order (units),FC Processing (units),FC Transfer (units)
LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Orange Abstract Rainbow Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Dorm Nursery Room Home Decor,N1338-1-Orange-3x5-US-V1,X004CCRHBX,B0DBZ7YNH5,70,7,110,11,0,0,0,0,0,0,50,64,117,38,0,1,37
LUXRUG Area Rugs 9x12 Living Room - Large Washable Charcoal Black Botanical Floral Rugs for Bedroom Soft Dark Vintage Boho Flower Rug Ultra-Thin Carpet Stain Resistant Rug for Dining Room Home Decor,G24451-4-Blue-9x12-US-V1,X004HYCNW9,B0DQ8JT91X,31,31,64,64,0,0,0,0,0,0,2,65,216,3,1,2,0
LUXRUG Washable Area Rug 8x10 - Large Boho Rugs for Living Room Soft Vintage Charcoal Black Botanical Floral Bedroom Rug Ultra-Thin Colorful Flower Carpet Rugs for Dining Room Home Office Nursery,G24451-4-Blue-8x10-US-V1,X004HYL587,B0DQ8R6L2D,52,26,146,73,0,0,0,0,0,0,0,37,147,2,0,2,0
LUXRUG 6x9 Area Rug for Living Room - Large Botanical Floral Washable Rugs for Bedroom Non-Slip Charcoal Black Stain Resistant Dining Room Rug Low-Pile Vintage Flower Rug for Office Carpet,G24451-4-Blue-6x9-US-V1,X004HYL57N,B0DQ8SFYYM,62,31,96,48,0,0,0,0,0,0,0,92,168,29,0,5,24
LUXRUG Washable Area Rug 5x7 - Charcoal Black Botanical Floral Living Room Rug Non-Slip Soft Boho Bedroom Rug Ultra-Thin Vintage Flower Dining Room Rugs for Under Table Office Carpet,G24451-4-Blue-5x7-US-V1,X004HYKMB3,B0DQ8SVXRX,56,14,124,31,0,0,0,0,0,0,0,73,240,4,0,0,4
LUXRUG 9x12 Washable Area Rug - Large Dark Charcoal Black Rug for Living Room Soft Ultra-Thin Botanical Floral Bedroom Rug Stain Resistant Boho Retro Vintage Rugs for Dining Room Home Office Carpet,G24451-2-Bronze-9x12-US-V1,X004HYJV2T,B0DQ8PLLMR,0,0,0,0,0,0,0,0,0,0,2,17,34,0,0,0,0
LUXRUG Floral Rugs for Living Room - 6x9 Area Rugs Ultra-Thin Soft Washable Rug Dark Charcoal Black Botanical Flower Bedroom Rug Stain Resistant Retro Vintage Boho Carpet for ‎Dining Room Office,G24451-2-Bronze-6x9-US-V1,X004HYB997,B0DQ8LPFLB,0,0,0,0,0,0,0,0,0,0,8,11,57,10,0,0,10
LUXRUG Washable Area Rug 5x7 - Charcoal Black Botanical Floral Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Retro Vintage Boho Farmhouse Dining Room Rugs for Under Table,G24451-2-Bronze-5x7-US-V1,X004HYB91F,B0DQ8KKQ4G,0,0,0,0,0,0,0,0,0,0,8,8,76,16,0,0,16
LUXRUG Area Rugs 9x12 Living Room - Large Washable Botanical Floral Pink Rugs for Bedroom Girls Soft Boho Colorful Flower Rug Ultra-Thin Carpet Stain Resistant Rug for Dining Room Office Home Decor,G24451-1-Pink--9x12-US-V1,X004HYCR43,B0DQ8LWKHK,25,25,25,25,0,0,0,0,0,0,0,67,366,0,0,0,0
LUXRUG Washable Area Rug 8x10 - Large Pink Beige Botanical Floral Rugs for Living Room Soft Low-Pile Boho Bedroom Rug Under Bed Colorful Flower Rugs for Dining Room Girls Room Nursery Home Decor,G24451-1-Pink--8x10-US-V1,X004HYL58R,B0DQ8SHCCL,34,17,98,49,0,0,0,0,0,0,0,37,197,4,0,4,0
