return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	status	license-plate-number	customer-comments
2025-03-05T05:58:33-08:00	114-8589254-9211419	G24268-7-Black-6x9-US-V1	B0DBYXH8YW	X004CCN2HB	LUXRUG 6x9 Area Rug for Living Room - Large Traditional Floral Washable Rugs for Bedroom Non-Slip Charcoal Black Stain Resistant Dining Room Rug Low-Pile Carpet Soft Vinatge Rug for Office Guest Room	1	HOU3	SELLABLE	SWITCHEROO	Unit returned to inventory	LPNPMDK7689483	No es la calidad que eaperaba. Es delgada y no se mustra como la fotografia. Esperaba algo mejor
2025-03-05T04:53:12-08:00	112-1166919-7010669	G24267-5-Green-9x12-US-V1	B0DBVMLB8P	X004CBDMCH	LUXRUG Area Rugs 9x12 Living Room - Large Washable Sage Green Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Farmhouse Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor	1	SDF6	SELLABLE	UNWANTED_ITEM	Unit returned to inventory	LPNNH4LZYF3FT	Changed mind
2025-03-05T04:12:05-08:00	113-4205650-5770607	G24268-7-Black-6x9-US-V1	B0DBYXH8YW	X004CCN2HB	LUXRUG 6x9 Area Rug for Living Room - Large Traditional Floral Washable Rugs for Bedroom Non-Slip Charcoal Black Stain Resistant Dining Room Rug Low-Pile Carpet Soft Vinatge Rug for Office Guest Room	1	CVG2	SELLABLE	NOT_AS_DESCRIBED	Unit returned to inventory	LPNNA5K6YF8N9	Inaccurate website description
2025-03-05T01:40:06-08:00	112-0128652-3226677	G24136-13-Grey-3x5-US-V1	B0DBZGGRRH	X004CCX6XB	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Grey Abstract Geometric Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Dorm Nursery Room Home Decor	1	FAR1	SELLABLE	ORDERED_WRONG_ITEM	Unit returned to inventory	LPNAC932183499	Bought the wrong size
2025-03-04T21:49:54-08:00	114-6725536-9101840	G24267-2-Beige-6x9-US-V1	B0DBVM7S5P	X004CBGGCF	LUXRUG 6x9 Area Rug for Living Room - Large Oriental Washable Rugs for Bedroom Non-Slip Cream Stain Resistant Dining Room Rug Farmhouse Low-Pile Carpet Soft Vinatge Rug for Office Guest Room	1	SDF6	CUSTOMER_DAMAGED	NOT_AS_DESCRIBED	Unit returned to inventory	LPNNK4C2VRYH9	
2025-03-04T15:21:15-08:00	111-0944638-1821814	N1338-1-Orange-8x10-US-V1	B0DBYSVWYJ	X004CCRGQT	LUXRUG Washable Area Rug 8x10 - Large Orange Boho Rugs for Living Room Soft Abstract Bedroom Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor	1	TUS1	CUSTOMER_DAMAGED	DEFECTIVE	Unit returned to inventory	LPNPMDF2139842	
2025-03-04T11:42:09-08:00	111-1154968-7651440	N1338-3-Sage Green-5x7-US-V1	B0DBYV7V8N	X004CCZH29	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Sage Green Modern Abstract Rainbow Dining Room Rugs Indoor Carpet for Living Room Nursery Room	1	PGA1	SELLABLE	APPAREL_TOO_LARGE	Unit returned to inventory	LPNAC338262376	Jdjej
2025-03-04T10:51:16-08:00	112-6836067-7582610	G24267-2-Beige-8x10-US-V1	B0DBVKBXCB	X004CBGG1B	LUXRUG Washable Area Rug 8x10 - Large Cream Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Distressed Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor	1	TEN1	CUSTOMER_DAMAGED	UNWANTED_ITEM	Unit returned to inventory	LPNPMDS9960163	
2025-03-04T07:38:49-08:00	112-3593852-0675429	G24267-5-Green-8x10-US-V1	B0DBVM69Y6	X004CBGGHP	LUXRUG Washable Area Rug 8x10 - Large Sage Green Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Distressed Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor	1	CVG2	SELLABLE	APPAREL_TOO_LARGE	Unit returned to inventory	LPNNA5DMB9SZ4	RUG LARGER THAN I COULD USE  REORDERED SMALLER SIZE
2025-03-04T04:51:33-08:00	111-4203201-7633059	N1338-3-Sage Green-8x10-US-V1	B0DBZGL9YS	X004CCZCIN	LUXRUG Washable Area Rug 8x10 - Large Sage Green Boho Rugs for Living Room Soft Abstract Bedroom Rug Ultra-Thin Modern Rainbow Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor	1	CVG2	CUSTOMER_DAMAGED	MISSED_ESTIMATED_DELIVERY	Unit returned to inventory	LPNNA5KSN88WD	
